epsilon,min_det_on_box,max_det_on_box,passes_positive_det_sample_test
0.0,1.0,1.0,True
0.01708860759493671,0.9997079886043351,0.9999147514508578,True
0.03417721518987342,0.9988319544173404,0.9996590058034313,True
0.05126582278481013,0.997371897439016,0.9992327630577202,True
0.06835443037974684,0.9953278176693618,0.9986360232137249,True
0.08544303797468356,0.9926997151083778,0.9978687862714453,True
0.10253164556962026,0.9894875897560641,0.9969310522308811,True
0.11962025316455696,0.9856914416124205,0.9958228210920326,True
0.13670886075949368,0.9813112706774473,0.9945440928548998,True
0.1537974683544304,0.9763470769511442,0.9930948675194825,True
0.1708860759493671,0.9707988604335113,0.9914751450857808,True
0.1879746835443038,0.9646666211245487,0.9896849255537948,True
0.20506329113924052,0.9579503590242563,0.9877242089235244,True
0.22215189873417723,0.9506500741326341,0.9855929951949697,True
0.23924050632911392,0.9427657664496821,0.9832912843681305,True
0.25632911392405067,0.9342974359754004,0.9808190764430069,True
0.27341772151898736,0.925245082709789,0.978176371419599,True
0.29050632911392404,0.9156087066528477,0.9753631692979067,True
0.3075949367088608,0.9053883078045767,0.97237947007793,True
0.3246835443037975,0.8945838861649759,0.9692252737596689,True
0.3417721518987342,0.8831954417340453,0.9659005803431234,True
0.3588607594936709,0.8712229745117849,0.9624053898282936,True
0.3759493670886076,0.8586664844981948,0.9587397022151793,True
0.39303797468354434,0.8455259716932748,0.9549035175037808,True
0.41012658227848103,0.8318014360970252,0.9508968356940978,True
0.4272151898734177,0.8174928777094457,0.9467196567861303,True
0.44430379746835447,0.8026002965305364,0.9423719807798786,True
0.46139240506329116,0.7871236925602975,0.9378538076753424,True
0.47848101265822784,0.7710630657987287,0.9331651374725219,True
0.4955696202531646,0.7544184162458302,0.928305970171417,True
0.5126582278481013,0.7371897439016017,0.9232763057720277,True
0.529746835443038,0.7193770487660437,0.918076144274354,True
0.5468354430379747,0.7009803308391558,0.912705485678396,True
0.5639240506329114,0.6819995901209382,0.9071643299841535,True
0.5810126582278481,0.6624348266113909,0.9014526771916267,True
0.5981012658227849,0.6422860403105135,0.8955705273008155,True
0.6151898734177216,0.6215532312183065,0.88951788031172,True
0.6322784810126583,0.6002363993347699,0.88329473622434,True
0.649367088607595,0.5783355446599033,0.8769010950386755,True
0.6664556962025316,0.5558506671937071,0.8703369567547269,True
0.6835443037974684,0.532781766936181,0.8636023213724937,True
0.7006329113924051,0.5091288438873252,0.8566971888919762,True
0.7177215189873418,0.4848918980471395,0.8496215593131743,True
0.7348101265822785,0.4600709294156241,0.842375432636088,True
0.7518987341772152,0.4346659379927791,0.8349588088607174,True
0.7689873417721519,0.4086769237786042,0.8273716879870624,True
0.7860759493670887,0.38210388677309925,0.8196140700151229,True
0.8031645569620254,0.3549468269762649,0.8116859549448991,True
0.8202531645569621,0.3272057443881006,0.803587342776391,True
0.8373417721518988,0.2988806390086066,0.7953182335095984,True
0.8544303797468354,0.2699715108377828,0.7868786271445215,True
0.8715189873417722,0.24047835987562916,0.7782685236811601,True
0.8886075949367089,0.21040118612214587,0.7694879231195144,True
0.9056962025316456,0.17973998957733273,0.7605368254595843,True
0.9227848101265823,0.14849477024118984,0.7514152307013698,True
0.939873417721519,0.11666552811371733,0.742123138844871,True
0.9569620253164557,0.08425226319491486,0.7326605498900878,True
0.9740506329113925,0.05125497548478242,0.72302746383702,True
0.9911392405063292,0.01767366498332057,0.7132238806856681,True
1.0082278481012659,-0.01649166830947113,0.7032498004360317,False
1.0253164556962027,-0.051241024393593015,0.6931052230881108,False
1.0424050632911392,-0.08657440326904386,0.6827901486419057,False
1.059493670886076,-0.12249180493582523,0.6723045770974162,False
1.0765822784810126,-0.1589932293939358,0.6616485084546423,False
1.0936708860759494,-0.19607867664337664,0.650821942713584,False
1.1107594936708862,-0.23374814668414712,0.6398248798742412,False
1.1278481012658228,-0.272001639516247,0.6286573199366141,False
1.1449367088607596,-0.3108391551396774,0.6173192629007027,False
1.1620253164556962,-0.3502606935544368,0.605810708766507,False
1.179113924050633,-0.3902662547605267,0.5941316575340266,False
1.1962025316455698,-0.43085583875794575,0.582282109203262,False
1.2132911392405064,-0.4720294455466947,0.5702620637742131,False
1.2303797468354432,-0.5137870751267737,0.5580715212468796,False
1.2474683544303797,-0.5561287274981821,0.5457104816212619,False
1.2645569620253165,-0.5990544026609204,0.5331789448973598,False
1.2816455696202533,-0.6425641006149889,0.5204769110751732,False
1.29873417721519,-0.6866578213603867,0.5076043801547023,False
1.3158227848101267,-0.7313355648971145,0.494561352135947,False
1.3329113924050633,-0.7765973312251715,0.48134782701890744,False
1.35,-0.822443120344559,0.46796380480358335,False
