h,abs_error,sampled_cubic_bound,error_over_h_cubed
0.015,1.7732034507389471e-07,9.012871934628529e-07,0.05253936150337622
0.016501732845911533,2.3614830357843175e-07,1.2012195675323773e-06,0.05255283805224514
0.01815381246118904,3.1450122395249025e-07,1.6011287993384375e-06,0.052567679463792406
0.019971290891288088,4.188632449775298e-07,2.134417378078844e-06,0.05258402680577767
0.02197072712506817,5.578736512745763e-07,2.8456838184711914e-06,0.052602036617482355
0.0241703379632198,7.430440338573874e-07,3.794492470033282e-06,0.05262188273303948
0.026590163990963114,9.897145090143056e-07,5.060420764908154e-06,0.052643758676921656
0.02925225216719001,1.3183288771756452e-06,6.74982067112626e-06,0.05266788024485968
0.03218085669361376,1.756135405761583e-06,9.004882352508971e-06,0.052694488689728605
0.03540265999403855,2.33945574690253e-06,1.2015792585347028e-05,0.052723854400946735
0.038947015817084284,3.1167124612263564e-06,1.6037057628508352e-05,0.05275628145558323
0.04284621667726773,4.152469818663462e-06,2.1409436505590934e-05,0.05279211305045545
0.04713578807108746,5.532828603715956e-06,2.858944264713586e-05,0.05283173817062088
0.051854812148705944,7.37263108008257e-06,3.818907033651041e-05,0.05287559979194174
0.05704628379019156,9.825087304848878e-06,5.102935820016041e-05,0.05292420510738804
0.06275750233051966,1.3094642474564822e-05,6.821271437486303e-05,0.05297813828989082
0.06904050250232707,1.745418591125869e-05,9.122073718758281e-05,0.053038076632337436
0.0759525285227259,2.3268081528859952e-05,0.00012204677074340184,0.0531048109921988
0.08355655564356658,3.1023013008946165e-05,0.00016337592320802468,0.053179271934159084
0.09192186391697851,4.1369334006446934e-05,0.00021883016210351314,0.053262563287143606
0.10112466940374763,5.517656405729099e-05,0.00029330299422441363,0.05335600544598286
0.11124881857545117,7.36079726701977e-05,0.0003934180402407486,0.05346119148242636
0.12238655223702508,9.822098790235323e-05,0.0005281598805965095,0.05358006013671867
0.13463934592983898,0.00013110265520155373,0.0007097459411230999,0.05371499107297294
0.1481188344721647,0.00017505285712493546,0.0009548380819516558,0.053868929542879244
0.16294782906049693,0.00023383293276046935,0.00128623691842068,0.0540455499385903
0.17926143619850538,0.0003125043886769152,0.0017352686018017873,0.05424947080696688
0.19720828864814344,0.00041789262567526464,0.002345175428189313,0.054486538012205245
0.21695189961807146,0.0005592256781969951,0.003175978668158795,0.05476419818629145
0.23867215252736215,0.0007490205346327716,0.004311527894836817,0.05509199182881371
0.2625669399176787,0.0010043239990682462,0.005869841104183814,0.0554822049714655
0.28885396644600264,0.00134846839143421,0.008018465856741338,0.055950730921812505
0.31777273238492204,0.0018135865437745036,0.0109976064163122,0.05651821015120132
0.3495867157020883,0.0024442655465855,0.015155419881309784,0.05721153799912495
0.3845857725996993,0.0033029385044560655,0.021002606497242532,0.058065857809083216
0.42308877838524817,0.004477976187103216,0.03137235962574845,0.059127192722687336
0.4654465327344291,0.006096045326553945,0.05168916802011967,0.06045591368504297
0.5120449558159579,0.008341317977344609,0.08623291723467019,0.062131294248085674
0.5633086043981009,0.011485838926700076,0.14534566866951062,0.06425746177078605
0.6197045399720487,0.015938283054907076,0.24693813156010633,0.06697111074202353
0.6817465841344836,0.022323299591236356,0.4218959900849775,0.0704513753742149
0.75,0.03161202916042338,0.7230553420979492,0.07493221726915172
