n,lower_sum,upper_sum,gap,actual_integral
4,0.4375,0.9375,0.5,0.6666666666666666
8,0.546875,0.796875,0.25,0.6666666666666666
16,0.60546875,0.73046875,0.125,0.6666666666666666
32,0.6357421875,0.6982421875,0.0625,0.6666666666666666
64,0.651123046875,0.682373046875,0.03125,0.6666666666666666
