N,function_sup_error,derivative_sup_error,integral_error
109,0.0077199172918155645,0.009174311926605505,0.004217451658320992
110,0.007649736225526332,0.00909090909090909,0.004179111567866767
111,0.007580819682954022,0.009009009009009009,0.004141462289853293
112,0.007513133792927647,0.008928571428571428,0.004104485320375717
113,0.007446645883255721,0.008849557522123894,0.004068162810534903
114,0.007381324428139443,0.008771929824561403,0.004032477537708856
115,0.007317138998329534,0.008695652173913044,0.0039974128783232254
116,0.007254060213861177,0.008620689655172414,0.00396295278203046
117,0.007192059699212791,0.008547008547008548,0.003929081747212793
118,0.007131110040744885,0.00847457627118644,0.003895784797731061
119,0.007071184746284845,0.008403361344537815,0.0038630474608455923
120,0.007012258206732471,0.008333333333333333,0.003830855746241646
109,0.009174299832368955,1.0,0.00013274193797929712
110,0.00909090902515411,1.0,0.00016520834999500522
111,0.009009004425640711,1.0,0.0001219602400572839
112,0.008928562683258727,1.0,4.3400172365093415e-05
113,0.008849557436109315,1.0,4.123014636925326e-07
114,0.008771928120909676,1.0,2.9310426736761652e-05
115,0.00869565189893767,1.0,0.00010026432698578835
116,0.008620689221787315,1.0,0.00014652200737230725
117,0.008547008507879124,1.0,0.00012595338822202207
118,0.008474574507757463,1.0,5.8260259812370485e-05
119,0.008403360914803839,1.0,5.091320287864409e-06
120,0.00833297846684235,1.0,1.2941932296950398e-05
