r_mid,theta_mid,image_cell_area,jacobian_midpoint_area,relative_error
0.3035714285714286,-1.0166666666666668,0.005395856356737366,0.005420918367346939,0.004623203839507007
0.3035714285714286,-0.8500000000000001,0.005395856356737352,0.005420918367346939,0.004623203839509567
0.3035714285714286,-0.6833333333333335,0.0053958563567373385,0.005420918367346942,0.004623203839512764
0.3035714285714286,-0.5166666666666668,0.005395856356737352,0.005420918367346939,0.004623203839509567
0.3035714285714286,-0.35000000000000014,0.0053958563567373455,0.005420918367346939,0.004623203839510847
0.3035714285714286,-0.18333333333333346,0.005395856356737359,0.005420918367346942,0.004623203839508924
0.3035714285714286,-0.01666666666666683,0.005395856356737347,0.005420918367346935,0.00462320383950989
0.3035714285714286,0.1499999999999998,0.005395856356737352,0.005420918367346942,0.004623203839510204
0.3035714285714286,0.31666666666666654,0.0053958563567373455,0.005420918367346942,0.004623203839511484
0.3035714285714286,0.48333333333333317,0.005395856356737366,0.005420918367346935,0.00462320383950637
0.3035714285714286,0.6499999999999998,0.005395856356737366,0.005420918367346942,0.004623203839507644
0.3035714285714286,0.8166666666666667,0.005395856356737352,0.0054209183673469465,0.004623203839511
0.4107142857142857,-1.0166666666666668,0.007300276247350523,0.007334183673469386,0.004623203839511056
0.4107142857142857,-0.8500000000000001,0.007300276247350523,0.007334183673469386,0.004623203839511056
0.4107142857142857,-0.6833333333333335,0.007300276247350551,0.007334183673469391,0.004623203839507861
0.4107142857142857,-0.5166666666666668,0.007300276247350523,0.007334183673469386,0.004623203839511056
0.4107142857142857,-0.35000000000000014,0.007300276247350537,0.007334183673469386,0.004623203839509165
0.4107142857142857,-0.18333333333333346,0.007300276247350537,0.007334183673469391,0.004623203839509753
0.4107142857142857,-0.01666666666666683,0.007300276247350525,0.007334183673469381,0.0046232038395101135
0.4107142857142857,0.1499999999999998,0.007300276247350537,0.007334183673469391,0.004623203839509753
0.4107142857142857,0.31666666666666654,0.007300276247350537,0.007334183673469391,0.004623203839509753
0.4107142857142857,0.48333333333333317,0.007300276247350551,0.007334183673469381,0.004623203839506566
0.4107142857142857,0.6499999999999998,0.007300276247350523,0.007334183673469391,0.004623203839511645
0.4107142857142857,0.8166666666666667,0.007300276247350551,0.007334183673469396,0.004623203839508567
0.5178571428571428,-1.0166666666666668,0.009204696137963708,0.00924744897959183,0.004623203839509963
0.5178571428571428,-0.8500000000000001,0.009204696137963708,0.00924744897959183,0.004623203839509963
0.5178571428571428,-0.6833333333333335,0.009204696137963708,0.009247448979591837,0.004623203839510709
