dimension_n,rank_k,dim_symmetric_k_tensors,dim_alternating_k_tensors
2,1,2,2
2,2,3,1
2,3,4,0
3,1,3,3
3,2,6,3
3,3,10,1
4,1,4,4
4,2,10,6
4,3,20,4
5,1,5,5
5,2,15,10
5,3,35,10
