shear,symmetric_residual,alternating_residual,alternating_value_on_repeated_vector,alt_norm_detects_non_symmetry
-1.0,0.0,0.0,0.0,0.7071067811865476
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.7071067811865476
2.0,0.0,0.0,0.0,1.4142135623730951
