concept,artifact
Shape,shape-recovery-initial-model.png
Recovery,shape-recovery-initial-model.png
Medial,shape-recovery-initial-model.png
Axes,shape-recovery-initial-model.png
Alpha,shape-recovery-initial-model.png
Shapes,shape-recovery-initial-model.png
Reconstruction,shape-recovery-initial-model.png
