step,action,point,stack_size
1,push,7,1
2,push,6,2
3,push,5,3
4,push,14,4
5,pop,14,0
6,push,4,4
7,push,11,5
8,push,10,6
9,pop,10,0
10,pop,11,0
11,push,3,5
12,push,13,6
13,pop,13,0
14,push,2,6
15,push,12,7
16,push,9,8
17,pop,9,0
18,pop,12,0
19,push,1,7
20,push,15,8
21,pop,15,0
22,push,8,8
23,push,0,9
