bits_per_channel,bits_per_pixel,bytes_for_10mp,channels,format,mib_for_10mp
1,1,1250000,1,1-bit grayscale mask,1.19
8,24,30000000,3,8-bit RGB,28.61
10,30,37500000,3,10-bit RGB,35.76
14,42,52500000,3,14-bit raw-style RGB,50.07
16,48,60000000,3,16-bit RGB,57.22
16,16,20000000,1,16-bit grayscale,19.07
16,48,60000000,3,half-float RGB,57.22
32,96,120000000,3,32-bit float RGB,114.44
