source,target
P,NP
NP-complete,NP
NP-complete,NP-hard
exponential search,graph coloring
exponential search,set partition
polynomial reduction,NP-complete
set partition,NP-complete
set partition,chain folding
graph coloring,NP-complete
graph coloring,art gallery guard minimum
art gallery guard minimum,exists-R complete
