n,O(1),O(log n),O(n),O(n log n),O(n^2),O(n^3)
10,1.0,3.321928094887362,10.0,33.219280948873624,100.0,1000.0
100,1.0,6.643856189774724,100.0,664.3856189774724,10000.0,1000000.0
1000,1.0,9.965784284662087,1000.0,9965.784284662088,1000000.0,1000000000.0
3000,1.0,11.550746785383243,3000.0,34652.24035614973,9000000.0,27000000000.0
