n,30.2*n*ln(n),0.004*n^2,quadratic_exceeds
85762,29420808.914752178,29420482.576,False
85763,29421182.166733418,29421168.676,False
85764,29421555.41906678,29421854.784,True
85765,29421928.67175228,29422540.900000002,True
171528,62433714.155663565,117687419.136,True
