third_camera_z,points_in_front_of_third_camera,delta_minus_feasible,delta_minus_margin
-0.4,9,True,0.9754182314783202
0.0,9,True,0.9747279747279748
0.4,9,True,0.9334525939177102
0.8000000000000002,9,True,0.7657370517928288
1.2000000000000002,9,True,0.6161566707466342
1.6,9,True,0.4883087400681041
2.0000000000000004,9,True,0.3777777777777777
2.4000000000000004,9,True,0.28126858275520283
2.8000000000000003,9,True,0.19627213420316855
3.2,9,True,0.1208443271767807
3.6,9,True,0.05345545378850905
4.0,8,False,-0.0
4.4,6,False,-0.0
4.8,6,False,-0.0
5.2,6,False,-0.0
