n,point_1_minus_1_over_n,tail_diameter_from_here
2,0.5,0.4873417721518988
10,0.9,0.08734177215189876
18,0.9444444444444444,0.04289732770745436
26,0.9615384615384616,0.025803310613437214
34,0.9705882352941176,0.016753536857781137
42,0.9761904761904762,0.011151295961422614
50,0.98,0.0073417721518987955
58,0.9827586206896551,0.00458315146224364
66,0.9848484848484849,0.002493287303413916
74,0.9864864864864865,0.0008552856654122643
