description,handles,crosscaps,normal_form,orientable,genus,chi
sphere,0,0,S^2,True,0,2
one handle,1,0,H(1),True,1,0
two handles,2,0,H(2),True,2,-2
one crosscap,0,1,M(1),False,1,1
two crosscaps,0,2,M(2),False,2,0
one handle plus one crosscap,1,1,M(3),False,3,-1
three handles plus two crosscaps,3,2,M(8),False,8,-6
