surface,family,parameter,orientable,chi
S^2,sphere,0,True,2
H(1),orientable handles,1,True,0
H(2),orientable handles,2,True,-2
H(3),orientable handles,3,True,-4
H(4),orientable handles,4,True,-6
M(1),nonorientable crosscaps,1,False,1
M(2),nonorientable crosscaps,2,False,0
M(3),nonorientable crosscaps,3,False,-1
M(4),nonorientable crosscaps,4,False,-2
M(5),nonorientable crosscaps,5,False,-3
M(6),nonorientable crosscaps,6,False,-4
