row_perturbation_sigma,smallest_singular_value,second_smallest_singular_value,relative_daq_error
0.0,2.2128662445302938e-14,1.000019228946612,6.421899451884358e-14
1e-10,2.2656597089493442e-10,1.0000192289717258,1.7659251857247805e-10
1e-08,2.280724282019625e-08,1.000019222904181,2.825460901118415e-08
1e-06,2.5536632435859325e-06,1.000020759663464,1.0221408696094659e-06
