triangle,vertices,center_x,center_y,radius,min_clearance_to_other_site,empty
0,4-2-0,1.8046428571428572,-2.618571428571429,3.418574581366823,0.6304652550559777,True
1,2-7-0,0.9820945945945948,0.6716216216216216,0.8279192353282067,1.2038830509429537,True
2,6-3-5,3.950000000000001,3.3499999999999996,1.5700318468107592,0.7070276605363819,True
3,8-4-5,3.793819188191882,1.102121771217712,0.8074756182631185,0.8898541414488227,True
4,3-8-5,3.397087378640777,1.967718446601942,0.8202427414299426,0.8007458396869099,True
5,4-8-2,2.616379310344828,0.4479885057471269,0.8890372716850721,1.06476448218704,True
6,8-3-2,2.1668316831683168,1.6467821782178214,0.9228247618716238,0.5571476744968878,True
7,7-1-0,-7.834756097560967,4.870121951219507,9.194525317060563,0.41176216670244337,True
8,1-6-9,1.9394736842105247,2.876315789473685,0.8577897901582417,0.03958248950625343,True
9,6-1-3,1.9565573770491806,2.8516393442622934,0.8698764457701293,0.016429082770716086,True
10,1-7-2,1.6664373088685018,1.82974006116208,1.0383658247575231,0.14207825877308333,True
11,3-1-2,1.7722614840989395,1.8687279151943463,1.0690878270656945,0.08203239134985574,True
