solid,p,q,V,E,F,angle_sum_at_vertex,angle_defect,euler_characteristic
tetrahedron,3,3,4,6,4,3.141592653589793,3.141592653589793,2
cube,4,3,8,12,6,4.71238898038469,1.5707963267948966,2
octahedron,3,4,6,12,8,4.1887902047863905,2.0943951023931957,2
dodecahedron,5,3,20,30,12,5.654866776461628,0.6283185307179586,2
icosahedron,3,5,12,30,20,5.235987755982988,1.0471975511965983,2
