solid,V,E,F,faces_meeting,face_angle,defect_per_vertex,total_defect,euler_characteristic
tetrahedron,4,6,4,3,1.0471975511965976,3.141592653589793,12.566370614359172,2
cube,8,12,6,3,1.5707963267948966,1.5707963267948966,12.566370614359172,2
icosahedron,12,30,20,5,1.0471975511965976,1.0471975511965983,12.56637061435918,2
