degree,smooth_plane_genus,smooth_dual_class,smooth_flex_count,genus_residual
1,0,0,0,0
2,0,2,0,0
3,1,6,9,0
4,3,12,24,0
5,6,20,45,0
6,10,30,72,0
7,15,42,105,0
8,21,56,144,0
