case,genus,r,degree,total_weight,canonical_expected_g3_minus_g,canonical_residual
"hyperelliptic pencil g^1_2, g=3",3,1,2,8,,
"trigonal-style g^1_3, g=4",4,1,3,12,,
"canonical system, g=4",4,3,6,60,60,0
"canonical system, g=5",5,4,8,120,120,0
