k,fraction,value,error_from_golden_turn
2,1/2,0.5,0.11803398874989485
3,1/3,0.3333333333333333,-0.04863267791677184
4,2/5,0.4,0.01803398874989487
5,3/8,0.375,-0.006966011250105153
6,5/13,0.38461538461538464,0.0026493733652794837
7,8/21,0.38095238095238093,-0.0010136302977242218
8,13/34,0.38235294117647056,0.0003869299263654091
9,21/55,0.38181818181818183,-0.00014782943192331865
