k,row_offsets,lower_transition_h,standard_h,upper_transition_h,standard_between_transitions
3,"1, 2, 3",0.07576482665528579,0.11803398874989483,0.21233222052890868,True
4,"2, 3, 5",0.02961488082752187,0.04863267791677181,0.07576482665528579,True
5,"3, 5, 8",0.011208254481231108,0.018033988749894845,0.02961488082752187,True
6,"5, 8, 13",0.004295994025631983,0.00696601125010515,0.011208254481231108,True
7,"8, 13, 21",0.00163874498108485,0.002649373365279463,0.004295994025631983,True
8,"13, 21, 34",0.000626261843369209,0.0010136302977241992,0.00163874498108485,True
9,"21, 34, 55",0.00023916444386392333,0.00038692992636543634,0.000626261843369209,True
