quantity,minimal_polynomial,degree,degree_power_of_2,degree_2_3_only,galois_order_used_for_test,galois_order_power_of_2,galois_order_2_3_only,note
sqrt(2),x**2 - 2,2,True,True,2,True,True,ordinary square-root gate
cuberoot(2),x**3 - 2,3,False,True,3,False,True,duplicate-cube coordinate
2*cos(20 deg),x**3 - 3*x - 1,3,False,True,3,False,True,trisecting 60 degrees
2*cos(2*pi/7),x**3 + x**2 - 2*x - 1,3,False,True,3,False,True,regular heptagon signal
2*cos(2*pi/17),x**8 + x**7 - 7*x**6 - 6*x**5 + 15*x**4 + 10*x**3 - 10*x**2 - 4*x + 1,8,True,True,8,True,True,regular 17-gon signal
root of x^4 - 5*x^2 - x + 1,x**4 - 5*x**2 - x + 1,4,True,True,24,False,True,degree-only trap from the chapter
