prime,input,relation_rhs,term_count
2,Sq^1 Sq^1,0,0
2,Sq^2 Sq^2,Sq^3 Sq^1,1
2,Sq^3 Sq^2,0,0
2,Sq^4 Sq^4,Sq^7 Sq^1 + Sq^6 Sq^2,2
2,Sq^2 Sq^3,Sq^5 + Sq^4 Sq^1,2
3,P^1 P^1,2 P^2,1
3,P^2 P^1,0,0
5,P^1 P^1,2 P^2,1
