model,value,prediction,scale
Jacobi K=-1,-1.0,"divergence, no second zero",inf
Jacobi K=0,0.0,"linear separation, no second zero",inf
Jacobi K=0.25,0.25,finite conjugate distance,6.283185307179586
Jacobi K=1,1.0,finite conjugate distance,3.141592653589793
Jacobi K=4,4.0,finite conjugate distance,1.5707963267948966
Bonnet lower bound delta=0.25,0.25,diameter <= pi/sqrt(delta),6.283185307179586
Bonnet lower bound delta=1,1.0,diameter <= pi/sqrt(delta),3.141592653589793
Bonnet lower bound delta=4,4.0,diameter <= pi/sqrt(delta),1.5707963267948966
