model,samples,speed2_initial,max_speed2_drift,momentum_initial,max_momentum_drift
sphere,146,1.0,2.928102205146388e-12,0.5508976940468687,2.0586865545624278e-12
plane,146,1.0,8.648637361829969e-13,0.6329514772803693,2.694511280765255e-13
hyperbolic,146,1.0,9.85878045867139e-13,0.7219280866555523,1.5717538381920804e-11
