r,sphere_circumference,euclidean_circumference,hyperbolic_circumference
0.25,1.5544849217260754,1.5707963267948966,1.587209997381678
0.75,4.2828626417827245,4.71238898038469,5.166768407947141
1.25,5.962646217074432,7.853981633974483,10.065154428636783
1.75,6.182566043869514,10.995574287564276,17.53269054713852
2.25,4.888778078596435,14.137166941154069,29.475479773126942
