space,cell_model,V,E,F,orientable,genus_or_crosscaps,first_betti,expected_class,euler_characteristic,formula_chi,formula_matches_cells
sphere boundary,icosahedron boundary,12,30,20,True,0,0,sphere type,2,2,True
cube boundary,cube boundary,8,12,6,True,0,0,sphere type,2,2,True
torus,periodic 8 by 6 square grid,48,96,48,True,1,2,one-handle surface,0,0,True
double torus,one polygon with four edge pairs,1,4,1,True,2,4,two-handle surface,-2,-2,True
