seed,step,x,y,z,radius_to_axis
0,0,1.05,0.0,-0.55,1.05
0,1,0.6171745149070968,0.8494678440936949,-0.21000000000000002,1.05
0,2,-0.3244678440936949,0.9986093421099114,0.13,1.05
0,3,-0.9986093421099114,0.3244678440936948,0.47000000000000003,1.05
0,4,-0.8494678440936949,-0.617174514907097,0.81,1.0500000000000003
0,5,9.431391010817786e-17,-1.0500000000000003,1.1500000000000001,1.0500000000000003
0,6,0.849467844093695,-0.6171745149070968,1.4900000000000002,1.0500000000000003
0,7,0.9986093421099115,0.32446784409369495,1.8300000000000003,1.0500000000000003
0,8,0.32446784409369483,0.9986093421099116,2.1700000000000004,1.0500000000000003
0,9,-0.6171745149070971,0.849467844093695,2.5100000000000002,1.0500000000000003
0,10,-1.0500000000000005,-1.3353874708969e-16,2.85,1.0500000000000005
1,0,0.55,0.72,-0.2,0.9060353193998565
1,1,-0.2592103471891019,0.8681647285568018,0.14,0.9060353193998566
1,2,-0.8547200386387317,0.30058884801237234,0.48000000000000004,0.9060353193998566
1,3,-0.7455733199122967,-0.5148013448262895,0.8200000000000001,0.9060353193998566
1,4,-0.02175396525564047,-0.9057741247108224,1.1600000000000001,0.9060353193998566
1,5,0.72,-0.5500000000000002,1.5000000000000002,0.9060353193998566
1,6,0.8681647285568019,0.2592103471891018,1.8400000000000003,0.9060353193998567
1,7,0.30058884801237257,0.8547200386387318,2.18,0.9060353193998567
1,8,-0.5148013448262895,0.7455733199122969,2.52,0.9060353193998567
1,9,-0.9057741247108226,0.021753965255640616,2.86,0.9060353193998568
1,10,-0.5500000000000003,-0.7200000000000001,3.1999999999999997,0.9060353193998567
2,0,1.35,-0.42,0.2,1.4138246001537815
2,1,1.1332972282323166,0.8453031364433404,0.54,1.4138246001537815
2,2,-0.017729205562214665,1.4137134346359352,0.8800000000000001,1.4138246001537815
2,3,-1.1541391593609795,0.8166166792501434,1.2200000000000002,1.4138246001537813
2,4,-1.3390427483690177,-0.45372295295736104,1.5600000000000003,1.4138246001537815
2,5,-0.41999999999999976,-1.35,1.9000000000000004,1.4138246001537815
2,6,0.8453031364433407,-1.1332972282323166,2.24,1.4138246001537815
2,7,1.4137134346359355,0.017729205562214863,2.58,1.4138246001537818
2,8,0.8166166792501434,1.1541391593609798,2.92,1.4138246001537818
2,9,-0.4537229529573612,1.3390427483690177,3.26,1.4138246001537815
2,10,-1.3500000000000003,0.4199999999999997,3.5999999999999996,1.4138246001537818
