H_x,H_y,case,max_foot_residual,max_midpoint_residual
0.55,0.25,1,6.106226635438361e-16,6.661338147750939e-16
0.15,0.92,2,3.3306690738754696e-16,5.551115123125783e-16
1.05,0.48,3,1.7763568394002505e-15,5.551115123125783e-16
-0.1,0.12,4,6.106226635438361e-16,5.551115123125783e-16
