regime,views,camera_dof,point_constraints_each,line_constraints_each,min_points_geometric,min_lines_geometric
projective cameras,2,7,1,,7,
affine cameras,2,4,1,,4,
known plane homographies,2,2,,,2,
projective cameras,3,18,3,2,6,9
affine cameras,3,12,3,2,4,6
known plane homographies,3,5,,1,2,5
projective cameras,4,29,5,4,6,8
affine cameras,4,20,5,4,4,5
known plane homographies,4,8,,2,2,4
