tracks,full_rows,reduced_rows,full_rank,reduced_rank,dependency_count,homogeneous_rank_cap,naive_16n
1,81,16,16,16,16,16,16
2,162,32,31,31,31,31,32
3,243,48,45,45,45,45,48
4,324,64,58,58,58,58,64
5,405,80,70,70,70,70,80
6,486,96,80,80,81,80,81
