number,pdf_start,printed_start,title
1,217,202,Derived Functors
2,221,206,Cohomology of Sheaves
3,228,213,Cohomology of a Noetherian Affine Scheme
4,233,218,Cech Cohomology
5,240,225,The Cohomology of Projective Space
6,248,233,Ext Groups and Sheaves
7,254,239,The Serre Duality Theorem
8,265,250,Higher Direct Images of Sheaves
9,268,253,Flat Morphisms
10,283,268,Smooth Morphisms
11,291,276,The Theorem on Formal Functions
12,296,281,The Semicontinuity Theorem
