dimension,basis_3form_count,binomial_n_choose_3,basis_triples,dimension_lock
2,0,0,none,locked: no 3 independent basis directions
3,1,1,dx1^dx2^dx3,unlocked
4,4,4,dx1^dx2^dx3; dx1^dx2^dx4; dx1^dx3^dx4; dx2^dx3^dx4,unlocked
5,10,10,dx1^dx2^dx3; dx1^dx2^dx4; dx1^dx2^dx5; dx1^dx3^dx4; dx1^dx3^dx5; dx1^dx4^dx5; dx2^dx3^dx4; dx2^dx3^dx5; dx2^dx4^dx5; dx3^dx4^dx5,unlocked
6,20,20,dx1^dx2^dx3; dx1^dx2^dx4; dx1^dx2^dx5; dx1^dx2^dx6; dx1^dx3^dx4; dx1^dx3^dx5; dx1^dx3^dx6; dx1^dx4^dx5; dx1^dx4^dx6; dx1^dx5^dx6; dx2^dx3^dx4; dx2^dx3^dx5; dx2^dx3^dx6; dx2^dx4^dx5; dx2^dx4^dx6; dx2^dx5^dx6; dx3^dx4^dx5; dx3^dx4^dx6; dx3^dx5^dx6; dx4^dx5^dx6,unlocked
