space,rank,curvature_ratio_min_over_max,midpoint_locus
S^n,1,1.0,antipodal point
RP^n,1,1.0,projective hyperplane
CP^n,1,0.25,CP^(n-1)
HP^n,1,0.25,HP^(n-1)
CaP^2,1,0.25,S^8-type locus
