kind,parameter,value
peripheral_angle,-0.65,-2.3
peripheral_angle,0.15,-2.3
peripheral_angle,1.65,-2.3000000000000003
secant_product,-2.4,0.5724999999999999
secant_product,-1.4,0.5725000000000001
secant_product,2.5,0.5724999999999999
secant_product,3.2,0.5724999999999998
