backward_error,backward_order,central_error,central_order,forward_error,forward_order,h
0.1167424347564947,nan,0.053051359173466706,nan,0.22284515310342834,nan,0.25
0.0720150095680252,0.6969595286921394,0.01335904477062555,1.989572860820273,0.0987330991092763,1.1744358651697042,0.125
0.039400838310023056,0.8700713029571802,0.0033457985070011187,1.997394382452831,0.046092435324025294,1.0990038168722542,0.0625
0.020543941136010213,0.9395133515748488,0.0008368273426648809,1.9993486686351678,0.022217595821339975,1.0528272851028235,0.03125
0.010482085013381104,0.9707872589662934,0.0002092304489111907,1.9998371717210204,0.010900545911203485,1.0273023217740542,0.015625
0.005293465044753143,0.985641405711095,5.230908813813606e-05,1.9999592935254376,0.005398083221029415,1.0138812647570297,0.0078125
0.0026598242523567794,0.992881481140999,1.3077364291680382e-05,1.9999898221542147,0.00268597898094014,1.0069992036433444,0.00390625
0.0013331832803038512,0.9964557933622906,3.269346796619388e-06,1.9999974742478155,0.00133972197389709,1.003514378903259,0.001953125
0.0006674092038798651,0.9982316423728506,8.173371150999031e-07,1.9999992658084267,0.0006690438781100649,1.0017609003391594,0.0009765625
0.000333908964558427,0.999116755679486,2.04334218656399e-07,2.0000004244651746,0.0003343176329957398,1.00088138130592,0.00048828125
