bias,mean_estimate,method,rmse,samples,stddev,true_irradiance
-0.22261250254292486,3.547298681764827,uniform hemisphere,2.383413559535741,1,2.3854514556083486,3.7699111843077517
0.22528234829804594,3.9951935326057977,uniform hemisphere,2.0249562973239907,2,2.022949393136745,3.7699111843077517
-0.21113644170365342,3.5587747426040983,uniform hemisphere,1.2599461445906004,4,1.2486499078028659,3.7699111843077517
-0.08128487887930413,3.6886263054284476,uniform hemisphere,0.926783610947639,8,0.928058417391839,3.7699111843077517
0.012461887588765652,3.7823730718965174,uniform hemisphere,0.6041453350943432,16,0.6071875074845384,3.7699111843077517
-0.02906532535623141,3.7408458589515203,uniform hemisphere,0.4433023515950863,32,0.44467053980269977,3.7699111843077517
-0.05596005591633357,3.713951128391418,uniform hemisphere,0.33309464315349313,64,0.3300840290175216,3.7699111843077517
0.003235088079990067,3.773146272387742,uniform hemisphere,0.22243884598769187,128,0.22358286214587147,3.7699111843077517
-0.029485493951607822,3.740425690356144,uniform hemisphere,0.14450146458289392,256,0.1422038113210081,3.7699111843077517
0.004117685000795124,3.774028869308547,uniform hemisphere,0.11403189160643581,512,0.11455572900113821,3.7699111843077517
0.004231549360484532,3.7741427336682363,uniform hemisphere,0.07167273459981886,1024,0.07192329159396375,3.7699111843077517
0.0013579418673050903,3.771269126175057,uniform hemisphere,0.051334946640550674,2048,0.051586365302371956,3.7699111843077517
0.11042381074200636,3.880334995049758,cosine weighted,0.9203063556562099,1,0.9184538239953691,3.7699111843077517
-0.018122450737418472,3.7517887335703333,cosine weighted,0.6954829097417395,2,0.6988963723661397,3.7699111843077517
-0.004390308550640043,3.7655208757571117,cosine weighted,0.4920552900052106,4,0.4946185859282987,3.7699111843077517
-0.0022895337102468716,3.767621650597505,cosine weighted,0.3416092112157537,8,0.34339473492258615,3.7699111843077517
-0.014720454200849442,3.7551907301069023,cosine weighted,0.19906786392056938,16,0.19956497363557216,3.7699111843077517
-0.0031879291105441077,3.7667232551972076,cosine weighted,0.20274016223109276,32,0.203779225401302,3.7699111843077517
-0.012460386580933847,3.757450797726818,cosine weighted,0.12271228376552357,64,0.1227188554940279,3.7699111843077517
0.005023287741842353,3.774934472049594,cosine weighted,0.08040290817774844,128,0.08066707705621731,3.7699111843077517
0.005502828625798539,3.7754140129335503,cosine weighted,0.06765253268719772,256,0.06778231949148264,3.7699111843077517
0.0032593944249623696,3.773170578732714,cosine weighted,0.043264400817628744,512,0.04336791607006654,3.7699111843077517
0.005369465277392127,3.775280649585144,cosine weighted,0.030458747195446927,1024,0.03013911531577992,3.7699111843077517
-0.0017431705527730657,3.7681680137549787,cosine weighted,0.023774153288912536,2048,0.023834624353912433,3.7699111843077517
