energy_error,exponent,integrated_reflectance,peak_brdf
-3.025628506625466e-07,0,0.7199996974371493,0.22918311805232927
-4.53844390180258e-07,4,0.7199995461556098,0.6875493541569879
-1.3615342011608078e-06,16,0.7199986384657988,2.0626480624709633
-4.992307175766264e-06,64,0.7199950076928242,7.563042895726866
