case,expected,measured_quantity,passes,value
"BRDF reflectance=0.35, exponent=0",0.35,directional hemispherical reflectance,True,0.34999985292083646
"BRDF reflectance=0.72, exponent=16",0.72,directional hemispherical reflectance,True,0.7199986384657988
"BRDF reflectance=0.95, exponent=64",0.95,directional hemispherical reflectance,True,0.9499934129280321
Beer green glass distance=0.5,decreases as distance increases,mean RGB transmittance,True,0.895864369623196
Beer green glass distance=2.0,decreases as distance increases,mean RGB transmittance,True,0.6641333333333334
Beer green glass distance=4.0,decreases as distance increases,mean RGB transmittance,True,0.4777702933333334
Monte Carlo final comparison,below 1,cosine RMSE / uniform RMSE,True,0.46311830136651544
