space,vertices,edges,faces,euler_characteristic,index_model
sphere tetrahedral triangulation,4,6,4,2,+1 + +1
torus square cell decomposition,1,2,1,0,nowhere-zero field
oriented surface genus 2,1,4,1,-2,total index -2
