concept,artifact
Oriented,oriented-intersection-theory-initial-model.png
Intersection,oriented-intersection-theory-initial-model.png
Orientation,oriented-intersection-theory-initial-model.png
Number,oriented-intersection-theory-initial-model.png
Lefschetz,oriented-intersection-theory-initial-model.png
Fixed,oriented-intersection-theory-initial-model.png
Point,oriented-intersection-theory-initial-model.png
