angle_degrees,meets_line_r,boundary_parallel,hit_parameter
-164.99999999999997,True,False,4.829629131445337
-150.00000000000003,True,False,2.5000000000000004
-135.0,True,False,1.7677669529663687
-119.99999999999999,True,False,1.4433756729740643
-105.0,True,False,1.2940952255126037
-90.0,True,False,1.25
-75.00000000000001,True,False,1.2940952255126037
-59.99999999999999,True,False,1.4433756729740645
-45.0,True,False,1.7677669529663687
-29.999999999999996,True,False,2.5000000000000004
-14.999999999999998,True,False,4.8296291314453415
0.0,False,True,
14.999999999999998,False,False,
29.999999999999996,False,False,
45.0,False,False,
59.99999999999999,False,False,
75.00000000000001,False,False,
90.0,False,False,
105.0,False,False,
119.99999999999999,False,False,
135.0,False,False,
150.00000000000003,False,False,
164.99999999999997,False,False,
