surface,family,genus_parameter,generators,relator_word,euler_characteristic,abelian_free_rank,abelian_torsion_factors
sphere,orientable,0,none,none,2,0,none
torus,orientable,1,"a1, b1",a1 b1 a1^-1 b1^-1,0,2,none
orientable genus 2,orientable,2,"a1, b1, a2, b2",a1 b1 a1^-1 b1^-1 a2 b2 a2^-1 b2^-1,-2,4,none
projective plane,nonorientable,1,x1,x1 x1,1,0,2
Klein bottle,nonorientable,2,"x1, x2",x1 x1 x2 x2,0,1,2
nonorientable genus 3,nonorientable,3,"x1, x2, x3",x1 x1 x2 x2 x3 x3,-1,2,2
