presentation_complex,cells_V_E_F,euler_characteristic,relators,abelian_free_rank,torsion_factors,matches_expected
bouquet of three circles,"1,3,0",-2,none,3,none,True
torus presentation complex,"1,2,1",0,a b a^-1 b^-1,2,none,True
projective plane presentation complex,"1,1,1",1,x x,0,2,True
orientable genus 2 presentation complex,"1,4,1",-2,a1 b1 a1^-1 b1^-1 a2 b2 a2^-1 b2^-1,4,none,True
nonorientable genus 3 presentation complex,"1,3,1",-1,x1 x1 x2 x2 x3 x3,2,2,True
