symbol,p,q,gcd,single_cycle,orbit_length_from_simulation,orbit_length_from_gcd,components,density_if_q_lt_half_p,vertex_angle_degrees
{9/2},9,2,1,True,9,9,1,2,100.0
{9/3},9,3,3,False,3,3,3,3,60.00000000000001
{11/4},11,4,1,True,11,11,1,4,49.090909090909086
{12/5},12,5,1,True,12,12,1,5,29.999999999999993
{15/4},15,4,1,True,15,15,1,4,84.0
