left_after_right,e,r^1,r^2,r^3,r^4,s,sr^1,sr^2,sr^3,sr^4
e,e,r^1,r^2,r^3,r^4,s,sr^1,sr^2,sr^3,sr^4
r^1,r^1,r^2,r^3,r^4,e,sr^1,sr^2,sr^3,sr^4,s
r^2,r^2,r^3,r^4,e,r^1,sr^2,sr^3,sr^4,s,sr^1
r^3,r^3,r^4,e,r^1,r^2,sr^3,sr^4,s,sr^1,sr^2
r^4,r^4,e,r^1,r^2,r^3,sr^4,s,sr^1,sr^2,sr^3
s,s,sr^4,sr^3,sr^2,sr^1,e,r^4,r^3,r^2,r^1
sr^1,sr^1,s,sr^4,sr^3,sr^2,r^1,e,r^4,r^3,r^2
sr^2,sr^2,sr^1,s,sr^4,sr^3,r^2,r^1,e,r^4,r^3
sr^3,sr^3,sr^2,sr^1,s,sr^4,r^3,r^2,r^1,e,r^4
sr^4,sr^4,sr^3,sr^2,sr^1,s,r^4,r^3,r^2,r^1,e
