mirror_angle_pi_over,rotation_angle_degrees,forward_residual,reverse_residual
3,120.0,0.0,0.0
4,90.0,0.0,0.0
5,72.0,0.0,0.0
6,60.0,0.0,0.0
8,45.0,0.0,0.0
