representative,diagonal,rank,signature,interpretation
empty_real_rank4,"[1, 1, 1, 1]",4,4,no real affine points
sphere_type,"[1, 1, 1, -1]",4,2,sphere or ellipsoid class
one_sheet_hyperboloid_type,"[1, 1, -1, -1]",4,0,ruled nondegenerate class
cone_type,"[1, 1, -1, 0]",3,1,rank-three cone
two_plane_type,"[1, -1, 0, 0]",2,0,pair of planes
double_plane_type,"[1, 0, 0, 0]",1,1,double plane
