canonical bracket,left exponent,net left minus right,right exponent
[P A B],1,0,1
[P A X],1,0,1
[P B C],1,0,1
[P B A1],1,0,1
[P C B1],1,0,1
[P C Z],1,0,1
[P A1 B1],1,0,1
[P A1 X],1,0,1
[P B1 C1],1,0,1
[P C1 Z],1,0,1
[A B C],1,0,1
[A C X],1,0,1
[B C Y],1,0,1
[C X Y],0,-1,1
[C Y Z],1,1,0
[A1 B1 C1],1,0,1
[A1 B1 Y],1,0,1
[A1 C1 Z],1,0,1
[A1 X Y],1,1,0
[A1 Y Z],0,-1,1
