hypothesis,left product,right product
"C,Y,A collinear",[C Y B] [C A X],[C Y X] [C A B]
"A,B,X collinear",[A B C] [A X P],[A B P] [A X C]
"P,A1,A collinear",[P A1 X] [P A B],[P A1 B] [P A X]
"P,C,C1 collinear",[P C Z] [P C1 B1],[P C B1] [P C1 Z]
"C1,Z,B1 collinear",[C1 Z P] [C1 B1 A1],[C1 Z A1] [C1 B1 P]
"A1,Y,C1 collinear",[A1 Y B1] [A1 C1 Z],[A1 Y Z] [A1 C1 B1]
"P,B,B1 collinear",[P B A1] [P B1 C],[P B C] [P B1 A1]
"C,B,Z collinear",[C B P] [C Z Y],[C B Y] [C Z P]
"A1,B1,X collinear",[A1 B1 P] [A1 X Y],[A1 B1 Y] [A1 X P]
