polynomial,root_index,real,imaginary,modulus,argument,residual_abs
z^5 - 1,1,-0.8090169943749475,0.5877852522924738,1.0000000000000004,2.513274122871834,3.2652397496279596e-15
z^5 - 1,2,-0.8090169943749475,-0.5877852522924731,1.0,-2.5132741228718345,1.2659966479596092e-17
z^5 - 1,3,0.30901699437494734,0.9510565162951531,0.9999999999999996,1.2566370614359172,2.455641111531922e-15
z^5 - 1,4,0.3090169943749471,-0.9510565162951532,0.9999999999999994,-1.2566370614359175,2.463113163280717e-15
z^5 - 1,5,1.0,0.0,1.0,0.0,0.0
z^3 - (1 + 2i),1,-1.0183221951428534,0.8203632448837141,1.3076604860118304,2.463444674991225,2.8435583831733384e-15
z^3 - (1 + 2i),2,-0.2012943128289031,-1.2920745126731026,1.3076604860118302,-1.725345529795165,3.833084183753514e-15
z^3 - (1 + 2i),3,1.2196165079717576,0.471711267789389,1.3076604860118306,0.3690495725980302,2.482534153247273e-16
z^4 + z + 1,1,0.727136084491196,0.9340992894605293,1.1837518185582034,0.9093434523131969,4.74318019856188e-15
z^4 + z + 1,2,0.7271360844911967,-0.9340992894605297,1.183751818558204,-0.9093434523131966,1.69270770603566e-15
z^4 + z + 1,3,-0.7271360844911976,0.4300142883297161,0.844771669468681,2.6075349376171886,2.1269434008028478e-15
z^4 + z + 1,4,-0.727136084491197,-0.4300142883297157,0.8447716694686802,-2.6075349376171886,5.555266287468891e-16
