quantity,max_denominator,rational,absolute_error
sqrt(2),8,7/5,0.014213562373095234
sqrt(2),32,41/29,0.00042045892481934466
sqrt(2),128,140/99,7.214823168100182e-05
pi,8,22/7,0.0012644892673496777
pi,32,22/7,0.0012644892673496777
pi,128,355/113,2.667641894049666e-07
e,8,19/7,0.003996114173330678
e,32,87/32,0.0004681715409549092
e,128,193/71,2.8030695884417867e-05
