k,real,imaginary,modulus,power_residual
0,1.0,0.0,1.0,0.0
1,0.6234898018587336,0.7818314824680298,1.0,6.684427777288335e-16
2,-0.22252093395631428,0.9749279121818237,1.0,1.336885555457667e-15
3,-0.9009688679024191,0.43388373911755834,1.0,1.5553031891404223e-15
4,-0.9009688679024195,-0.43388373911755795,1.0000000000000002,2.6202204231231423e-15
5,-0.22252093395631478,-0.9749279121818237,1.0000000000000002,2.756060177257249e-15
6,0.6234898018587334,-0.7818314824680304,1.0000000000000002,3.956897784362198e-15
