model,u_generator,"sample_[e,e]",spans_u,semisimple
Euclidean se(2)/so(2),R,"[T1,T2]=0",False,False
Compact so(3)/so(2),Az,"[Ax,Ay]=Az",True,True
"Noncompact sl(2,R)/so(2)",K,"[P1,P2]=2K",True,True
