factor,algebra_ideal,type,curvature,rank_contribution
M0,l0,Euclidean,0,dimension of flat Euclidean part
M-,l-,compact,>= 0,maximal abelian subspace in e-
M+,l+,noncompact,<= 0,maximal abelian subspace in e+
