t,theta,parallel_radius_sin_theta,sin_angle_with_meridian,clairaut_sin2theta_phidot
0.0,1.13,0.9044121893788258,0.795601620036366,0.7195518030504305
0.4715990453460621,1.4392526559133598,0.9913605999370529,0.7258224737768232,0.719551803050639
0.9431980906921242,1.7649800129821611,0.9812055169614592,0.7333344448360392,0.7195518030515653
1.4147971360381864,2.065724876333078,0.8800026488208429,0.8176700422512403,0.7195518030352787
1.8863961813842485,2.282704349789897,0.757116782493707,0.9503841675189149,0.7195518031035529
2.3579952267303104,2.3308636113842147,0.7247896553036889,0.9927732795148092,0.7195518030520722
2.8295942720763727,2.1824828228066764,0.8186807139673697,0.8789162744181941,0.7195518030541889
3.3011933174224346,1.9115113602796356,0.9425159701086183,0.7634372529251338,0.7195518030518935
3.772792362768497,1.5919190626994828,0.9997769233083144,0.7197123541107491,0.719551803056165
4.244391408114559,1.2697393339979937,0.9550235927869442,0.7534387720831592,0.7195518030575843
4.715990453460621,0.9890974630375102,0.835530425285575,0.8611916230396606,0.7195518030430857
5.2,0.8176303150764042,0.7295271290908407,0.9863263124410737,0.7195518030575143
