lie_algebra,killing_matrix,eigenvalues,signature,compactness_signal
"sl(2,R)","[[0.0, 4.0, 0.0], [4.0, 0.0, 0.0], [0.0, 0.0, 8.0]]","[-4.0, 4.0, 8.0]",indefinite,not compact
su(2) compact real form,"[[-2.0, 0.0, 0.0], [0.0, -2.0, 0.0], [0.0, 0.0, -2.0]]","[-2.0, -2.0, -2.0]",negative definite,compact semisimple
