fechner_strength,intensity,stevens_strength_normalized,weber_jnd
0.0,0.01,0.0070794578438413795,0.0001
0.2515723270440251,0.017847291911159614,0.009081887139555305,0.00017847291911159615
0.5031446540880502,0.03185258285621434,0.011650704875285377,0.0003185258285621434
0.7547169811320755,0.05684823443592558,0.0149461143928777,0.0005684823443592558
1.0062893081761006,0.10145870346119999,0.019173632654523338,0.0010145870346119999
1.2578616352201257,0.18107630975998165,0.024596907230001543,0.0018107630975998166
1.509433962264151,0.32317217584819546,0.031554158577173544,0.0032317217584819547
1.7610062893081762,0.5767748159927352,0.04047927303230115,0.005767748159927351
2.0125786163522013,1.0293868508027717,0.0519288619665154,0.010293868508027717
2.2641509433962264,1.8371767615786374,0.06661697464244491,0.018371767615786374
2.5157232704402515,3.2788629956292827,0.0854596296251154,0.03278862995629283
2.7672955974842766,5.851882501969508,0.1096319419316377,0.05851882501969508
3.018867924528302,10.4440255242457,0.14064140863266417,0.104440255242457
3.270440251572327,18.63975722588148,0.18042192333429677,0.1863975722588148
3.5220125786163523,33.26691883634535,0.23145438271788324,0.3326691883634535
3.7735849056603774,59.37244114571097,0.2969214067187196,0.5937244114571097
4.0251572327044025,105.96372886056477,0.38090582140880525,1.0596372886056478
4.276729559748428,189.1165600969468,0.4886452828932034,1.8911656009694682
4.528301886792453,337.52184532845695,0.6268589217425363,3.3752184532845697
4.779874213836478,602.3850899970236,0.8041663790175121,6.023850899970236
