space,rank_g,rank_k,rank_g_over_k,restricted_multiplicities,all_even,split_rank_equality,theorem_6_1_match
"SL(3,R)/SO(3)",2,1,2,1,False,False,True
"SL(3,C)/SU(3) as real",4,2,2,2,True,True,True
"SU(2,1)/S(U(2)U(1))",2,2,1,"m_alpha=2, m_2alpha=1",False,False,True
"SO0(3,1)/SO(3)",2,1,1,2,True,True,True
