r,t,log_exp_alpha_H,log_exp_alpha_B,A_coordinate,in_big_cell
0.0,0.0,0.0,-inf,0.0,False
0.0,0.2,0.1484200051182734,-1.83258146374831,0.1986901103492415,True
0.0,0.4,0.4946962418361071,-0.4462871026284193,0.39003531977071537,True
0.0,0.6000000000000001,0.8919980393051107,0.3646431135879095,0.5688248987322476,True
0.0,0.8,1.2697605448639393,0.9400072584914713,0.732668256045411,True
0.0,1.0,1.6094379124341003,1.3862943611198906,0.881373587019543,True
0.2,0.0,0.0784414263065627,-6.437751649736401,0.19966815779841535,True
0.2,0.2,0.21640087044681727,-1.822631132895142,0.2798806108249342,True
0.2,0.4,0.5432540909853284,-0.44379022242983207,0.43391537362309945,True
0.2,0.6000000000000001,0.924893620681423,0.3657536078719367,0.59672254087551,True
0.2,0.8,1.29242314550982,0.9406320632603133,0.7519659652759394,True
0.2,1.0,1.625626172630625,1.3866942811412175,0.8954452493897191,True
0.4,0.0,0.2968400102365468,-3.66516292749662,0.39738022069848306,True
0.4,0.2,0.4091914898489783,-1.6841614586300366,0.439979304688122,True
0.4,0.4,0.685921135468206,-0.40706638947513807,0.5440719942101055,True
0.4,0.6000000000000001,1.0244632900317878,0.38226471493772907,0.6734595970776047,True
0.4,0.8,1.3624114206565587,0.9499575893446394,0.8073779508920663,True
0.4,1.0,1.676273792620355,1.3926739680839295,0.9368262511033136,True
0.6000000000000001,0.0,0.6149693994959214,-2.043302495063962,0.591346095126845,True
0.6000000000000001,0.2,0.6979356972917427,-1.2392546184705755,0.6175614270702764,True
0.6000000000000001,0.4,0.9121220550019355,-0.2618843796306401,0.6877273282672471,True
0.6000000000000001,0.6000000000000001,1.1907659768386545,0.45082080982896194,0.7844458692445248,True
0.6000000000000001,0.8,1.483783982397148,0.9893924836722142,0.8926918701251331,True
0.6000000000000001,1.0,1.7663732828376393,1.4181805499822124,1.0031062078386677,True
0.8,0.0,0.9893924836722142,-0.8925742052568388,0.7800706395414306,True
0.8,0.2,1.0471786335532605,-0.5628209188843708,0.7973266917393989,True
0.8,0.4,1.202852176657233,0.048409139207687836,0.8455345376162892,True
0.8,0.6000000000000001,1.4181805499822127,0.6149693994959216,0.9162578900164207,True
0.8,0.8,1.6581518832247004,1.0884272636097445,1.000358897118262,True
0.8,1.0,1.9005540816201636,1.4837839823971477,1.0905866100810675,True
1.0,0.0,1.3862943611198906,0.0,0.9624236501192069,True
1.0,0.2,1.425515074273172,0.1484200051182734,0.9742034498538054,True
1.0,0.4,1.534714366238164,0.4946962418361071,1.007903786938364,True
1.0,0.6000000000000001,1.6937790608678513,0.8919980393051107,1.0593194009212101,True
1.0,0.8,1.8809906029559977,1.2697605448639393,1.123230982587296,True
1.0,1.0,2.0794415416798357,1.6094379124341003,1.1947632172871094,True
1.2000000000000002,0.0,1.7839960786102214,0.7292862271758191,1.1376497974644952,True
1.2000000000000002,0.2,1.8105157977104986,0.8036146335859169,1.1458891272326288,True
1.2000000000000002,0.4,1.8860994816024161,0.9982761666154474,1.169807242850291,True
1.2000000000000002,0.6000000000000001,2.000614761133865,1.2566411528930201,1.2072505000271931,True
1.2000000000000002,0.8,2.141664884859968,1.5333341037692059,1.2553026683228152,True
1.2000000000000002,1.0,2.2979342947786185,1.8039515099934171,1.3109167267206687,True
1.4000000000000001,0.0,2.1703785366719384,1.345888946484852,1.3053331321647117,True
1.4000000000000001,0.2,2.1884753027039587,1.386694281141218,1.3112088616512239,True
1.4000000000000001,0.4,2.240879887557367,1.4999801255237075,1.3284286827919556,True
1.4000000000000001,0.6000000000000001,2.32254457073365,1.6642290821167918,1.3558609815838412,True
1.4000000000000001,0.8,2.4267124055432747,1.8565479591208338,1.3918816058962484,True
1.4000000000000001,1.0,2.546440661905273,2.059442895173146,1.4346552585038903,True
1.6,0.0,2.5395210897278786,1.8800145169829423,1.4653365120908217,True
1.6,0.2,2.552066731630523,1.9041353197797866,1.469599264505447,True
1.6,0.4,2.5887860691640285,1.9731917418371256,1.4821725485566122,True
1.6,0.6000000000000001,2.647138871522366,2.078641221509067,1.5024464915151716,True
1.6,0.8,2.7235035145492903,2.2097678033554105,1.5295099985455967,True
1.6,1.0,2.813826630256026,2.356467033943088,1.56227473234639,True
